city,date,averageMonthlyPrice
NANTES,2020-06-01,3776.37
NANTES,2020-07-01,3789.21
NANTES,2020-08-01,3802.48
NANTES,2020-09-01,3815.75
NANTES,2020-10-01,3828.59
NANTES,2020-11-01,3841.86
NANTES,2020-12-01,3854.7
NANTES,2021-01-01,3867.96
NANTES,2021-02-01,3881.23
NANTES,2021-03-01,3893.22
NANTES,2021-04-01,3906.49
NANTES,2021-05-01,3919.33
NANTES,2021-06-01,3932.59
NANTES,2021-07-01,3945.43
NANTES,2021-08-01,3958.7
NANTES,2021-09-01,3971.97
NANTES,2021-10-01,3984.81
NANTES,2021-11-01,3998.08
NANTES,2021-12-01,4010.92
